iter	Passed	Remaining
0	1	167
1	3	148
2	4	143
3	5	137
4	7	141
5	9	141
6	10	137
7	11	134
8	13	133
9	14	130
10	15	127
11	17	125
12	18	122
13	19	120
14	21	119
15	22	119
16	23	117
17	25	115
18	26	113
19	27	111
20	29	110
21	30	107
22	31	105
23	32	103
24	33	101
25	35	101
26	36	99
27	38	97
28	39	96
29	40	94
30	41	93
31	42	91
32	44	89
33	45	88
34	46	86
35	47	85
36	48	83
37	50	81
38	51	80
39	53	79
40	54	78
41	55	76
42	56	75
43	57	73
44	58	72
45	60	70
46	61	69
47	62	68
48	64	66
49	65	65
50	66	64
51	68	62
52	69	61
53	70	59
54	71	58
55	72	57
56	74	55
57	75	54
58	76	53
59	77	51
60	79	50
61	80	49
62	81	47
63	82	46
64	84	45
65	85	44
66	86	42
67	87	41
68	89	40
69	90	38
70	91	37
71	93	36
72	94	35
73	96	33
74	97	32
75	98	31
76	99	29
77	101	28
78	102	27
79	103	25
80	105	24
81	106	23
82	107	22
83	109	20
84	110	19
85	111	18
86	113	16
87	114	15
88	115	14
89	116	12
90	118	11
91	119	10
92	120	9
93	122	7
94	124	6
95	125	5
96	126	3
97	128	2
98	129	1
99	130	0
